0,0,0,0,0,6,12,6,10,10,1,1,0,0,0,0
0,0,1,3,19,47,127,171,156,108,52,14,3,0,0,0
0,1,5,30,174,490,1120,1584,1618,1116,569,170,27,11,1,0
0,3,42,245,1097,3440,7218,10434,10499,7258,3699,1220,254,41,7,1
1,22,188,1135,5161,15711,33010,47739,48289,33294,16155,5268,1287,186,21,0
2,53,568,3727,15946,49182,102910,149524,150355,104299,50531,16573,3844,592,71,1
5,136,1218,7857,34309,105275,221733,321538,324157,226029,108486,36031,8411,1321,156,11
12,200,1788,11806,51147,156203,328141,477655,479485,335256,160348,53621,12191,1949,202,12
20,172,1805,11854,52025,158715,334152,484768,488877,339182,163178,54323,12632,2005,207,18
15,132,1308,8179,36514,110935,233614,339863,341988,238273,114255,38242,8790,1438,139,21
5,71,610,4015,17469,53614,112940,163968,163857,114488,55169,18596,4200,624,71,5
0,30,193,1338,5860,17707,36985,53958,54198,37746,18388,6206,1386,262,24,2
1,1,47,317,1364,4012,8502,12491,12430,8631,4104,1371,288,46,4,1
0,1,4,55,202,617,1274,1882,1973,1405,654,225,59,8,1,0
0,0,1,4,27,53,138,197,220,137,72,23,8,3,0,0
0,0,1,0,3,3,13,12,17,14,4,1,0,0,0,0
