Column	Row	Geometry	Frequency
0	0	POLYGON ((-0.4999999625962316 0.5932197064978836,-0.41449996496708263 0.5932197064978836,-0.41449996496708263 0.6211983361364846,-0.4999999625962316 0.6211983361364846,-0.4999999625962316 0.5932197064978836))	0
1	0	POLYGON ((-0.41449996496708263 0.5932197064978836,-0.3289999673379338 0.5932197064978836,-0.3289999673379338 0.6211983361364846,-0.41449996496708263 0.6211983361364846,-0.41449996496708263 0.5932197064978836))	0
2	0	POLYGON ((-0.3289999673379338 0.5932197064978836,-0.24349996970878485 0.5932197064978836,-0.24349996970878485 0.6211983361364846,-0.3289999673379338 0.6211983361364846,-0.3289999673379338 0.5932197064978836))	0
3	0	POLYGON ((-0.24349996970878485 0.5932197064978836,-0.15799997207963595 0.5932197064978836,-0.15799997207963595 0.6211983361364846,-0.24349996970878485 0.6211983361364846,-0.24349996970878485 0.5932197064978836))	0
4	0	POLYGON ((-0.15799997207963595 0.5932197064978836,-0.072499974450487 0.5932197064978836,-0.072499974450487 0.6211983361364846,-0.15799997207963595 0.6211983361364846,-0.15799997207963595 0.5932197064978836))	0
5	0	POLYGON ((-0.072499974450487 0.5932197064978836,0.01300002317866189 0.5932197064978836,0.01300002317866189 0.6211983361364846,-0.072499974450487 0.6211983361364846,-0.072499974450487 0.5932197064978836))	0
6	0	POLYGON ((0.01300002317866189 0.5932197064978836,0.09850002080781078 0.5932197064978836,0.09850002080781078 0.6211983361364846,0.01300002317866189 0.6211983361364846,0.01300002317866189 0.5932197064978836))	0
7	0	POLYGON ((0.09850002080781078 0.5932197064978836,0.18400001843695973 0.5932197064978836,0.18400001843695973 0.6211983361364846,0.09850002080781078 0.6211983361364846,0.09850002080781078 0.5932197064978836))	0
8	0	POLYGON ((0.18400001843695973 0.5932197064978836,0.2695000160661086 0.5932197064978836,0.2695000160661086 0.6211983361364846,0.18400001843695973 0.6211983361364846,0.18400001843695973 0.5932197064978836))	0
9	0	POLYGON ((0.2695000160661086 0.5932197064978836,0.3550000136952576 0.5932197064978836,0.3550000136952576 0.6211983361364846,0.2695000160661086 0.6211983361364846,0.2695000160661086 0.5932197064978836))	0
10	0	POLYGON ((0.3550000136952576 0.5932197064978836,0.44050001132440647 0.5932197064978836,0.44050001132440647 0.6211983361364846,0.3550000136952576 0.6211983361364846,0.3550000136952576 0.5932197064978836))	0
11	0	POLYGON ((0.44050001132440647 0.5932197064978836,0.5260000089535554 0.5932197064978836,0.5260000089535554 0.6211983361364846,0.44050001132440647 0.6211983361364846,0.44050001132440647 0.5932197064978836))	0
12	0	POLYGON ((0.5260000089535554 0.5932197064978836,0.6115000065827043 0.5932197064978836,0.6115000065827043 0.6211983361364846,0.5260000089535554 0.6211983361364846,0.5260000089535554 0.5932197064978836))	0
13	0	POLYGON ((0.6115000065827043 0.5932197064978836,0.6970000042118532 0.5932197064978836,0.6970000042118532 0.6211983361364846,0.6115000065827043 0.6211983361364846,0.6115000065827043 0.5932197064978836))	1
