Column	Row	Geometry	Frequency
0	0	POLYGON ((1.3179052653529422E-7 3.313398634352538E-7,0.06262512145410425 3.313398634352538E-7,0.06262512145410425 0.06253780853160759,1.3179052653529422E-7 0.06253780853160759,1.3179052653529422E-7 3.313398634352538E-7))	659163
1	0	POLYGON ((0.06262512145410425 3.313398634352538E-7,0.12525011111768194 3.313398634352538E-7,0.12525011111768194 0.06253780853160759,0.06262512145410425 0.06253780853160759,0.06262512145410425 3.313398634352538E-7))	61772
2	0	POLYGON ((0.12525011111768194 3.313398634352538E-7,0.18787510078125966 3.313398634352538E-7,0.18787510078125966 0.06253780853160759,0.12525011111768194 0.06253780853160759,0.12525011111768194 3.313398634352538E-7))	6354
3	0	POLYGON ((0.18787510078125966 3.313398634352538E-7,0.2505000904448374 3.313398634352538E-7,0.2505000904448374 0.06253780853160759,0.18787510078125966 0.06253780853160759,0.18787510078125966 3.313398634352538E-7))	173
4	0	POLYGON ((0.2505000904448374 3.313398634352538E-7,0.31312508010841505 3.313398634352538E-7,0.31312508010841505 0.06253780853160759,0.2505000904448374 0.06253780853160759,0.2505000904448374 3.313398634352538E-7))	0
5	0	POLYGON ((0.31312508010841505 3.313398634352538E-7,0.37575006977199277 3.313398634352538E-7,0.37575006977199277 0.06253780853160759,0.31312508010841505 0.06253780853160759,0.31312508010841505 3.313398634352538E-7))	0
6	0	POLYGON ((0.37575006977199277 3.313398634352538E-7,0.43837505943557054 3.313398634352538E-7,0.43837505943557054 0.06253780853160759,0.37575006977199277 0.06253780853160759,0.37575006977199277 3.313398634352538E-7))	0
7	0	POLYGON ((0.43837505943557054 3.313398634352538E-7,0.5010000490991482 3.313398634352538E-7,0.5010000490991482 0.06253780853160759,0.43837505943557054 0.06253780853160759,0.43837505943557054 3.313398634352538E-7))	0
8	0	POLYGON ((0.5010000490991482 3.313398634352538E-7,0.5636250387627258 3.313398634352538E-7,0.5636250387627258 0.06253780853160759,0.5010000490991482 0.06253780853160759,0.5010000490991482 3.313398634352538E-7))	0
9	0	POLYGON ((0.5636250387627258 3.313398634352538E-7,0.6262500284263036 3.313398634352538E-7,0.6262500284263036 0.06253780853160759,0.5636250387627258 0.06253780853160759,0.5636250387627258 3.313398634352538E-7))	0
10	0	POLYGON ((0.6262500284263036 3.313398634352538E-7,0.6888750180898814 3.313398634352538E-7,0.6888750180898814 0.06253780853160759,0.6262500284263036 0.06253780853160759,0.6262500284263036 3.313398634352538E-7))	0
11	0	POLYGON ((0.6888750180898814 3.313398634352538E-7,0.751500007753459 3.313398634352538E-7,0.751500007753459 0.06253780853160759,0.6888750180898814 0.06253780853160759,0.6888750180898814 3.313398634352538E-7))	0
12	0	POLYGON ((0.751500007753459 3.313398634352538E-7,0.8141249974170367 3.313398634352538E-7,0.8141249974170367 0.06253780853160759,0.751500007753459 0.06253780853160759,0.751500007753459 3.313398634352538E-7))	0
13	0	POLYGON ((0.8141249974170367 3.313398634352538E-7,0.8767499870806146 3.313398634352538E-7,0.8767499870806146 0.06253780853160759,0.8141249974170367 0.06253780853160759,0.8141249974170367 3.313398634352538E-7))	0
14	0	POLYGON ((0.8767499870806146 3.313398634352538E-7,0.9393749767441922 3.313398634352538E-7,0.9393749767441922 0.06253780853160759,0.8767499870806146 0.06253780853160759,0.8767499870806146 3.313398634352538E-7))	0
15	0	POLYGON ((0.9393749767441922 3.313398634352538E-7,1.00199996640777 3.313398634352538E-7,1.00199996640777 0.06253780853160759,0.9393749767441922 0.06253780853160759,0.9393749767441922 3.313398634352538E-7))	0
0	1	POLYGON ((1.3179052653529422E-7 0.06253780853160759,0.06262512145410425 0.06253780853160759,0.06262512145410425 0.12507528572335175,1.3179052653529422E-7 0.12507528572335175,1.3179052653529422E-7 0.06253780853160759))	54414
1	1	POLYGON ((0.06262512145410425 0.06253780853160759,0.12525011111768194 0.06253780853160759,0.12525011111768194 0.12507528572335175,0.06262512145410425 0.12507528572335175,0.06262512145410425 0.06253780853160759))	664310
2	1	POLYGON ((0.12525011111768194 0.06253780853160759,0.18787510078125966 0.06253780853160759,0.18787510078125966 0.12507528572335175,0.12525011111768194 0.12507528572335175,0.12525011111768194 0.06253780853160759))	61115
3	1	POLYGON ((0.18787510078125966 0.06253780853160759,0.2505000904448374 0.06253780853160759,0.2505000904448374 0.12507528572335175,0.18787510078125966 0.12507528572335175,0.18787510078125966 0.06253780853160759))	6393
4	1	POLYGON ((0.2505000904448374 0.06253780853160759,0.31312508010841505 0.06253780853160759,0.31312508010841505 0.12507528572335175,0.2505000904448374 0.12507528572335175,0.2505000904448374 0.06253780853160759))	151
5	1	POLYGON ((0.31312508010841505 0.06253780853160759,0.37575006977199277 0.06253780853160759,0.37575006977199277 0.12507528572335175,0.31312508010841505 0.12507528572335175,0.31312508010841505 0.06253780853160759))	2
6	1	POLYGON ((0.37575006977199277 0.06253780853160759,0.43837505943557054 0.06253780853160759,0.43837505943557054 0.12507528572335175,0.37575006977199277 0.12507528572335175,0.37575006977199277 0.06253780853160759))	0
7	1	POLYGON ((0.43837505943557054 0.06253780853160759,0.5010000490991482 0.06253780853160759,0.5010000490991482 0.12507528572335175,0.43837505943557054 0.12507528572335175,0.43837505943557054 0.06253780853160759))	0
8	1	POLYGON ((0.5010000490991482 0.06253780853160759,0.5636250387627258 0.06253780853160759,0.5636250387627258 0.12507528572335175,0.5010000490991482 0.12507528572335175,0.5010000490991482 0.06253780853160759))	0
9	1	POLYGON ((0.5636250387627258 0.06253780853160759,0.6262500284263036 0.06253780853160759,0.6262500284263036 0.12507528572335175,0.5636250387627258 0.12507528572335175,0.5636250387627258 0.06253780853160759))	0
10	1	POLYGON ((0.6262500284263036 0.06253780853160759,0.6888750180898814 0.06253780853160759,0.6888750180898814 0.12507528572335175,0.6262500284263036 0.12507528572335175,0.6262500284263036 0.06253780853160759))	0
11	1	POLYGON ((0.6888750180898814 0.06253780853160759,0.751500007753459 0.06253780853160759,0.751500007753459 0.12507528572335175,0.6888750180898814 0.12507528572335175,0.6888750180898814 0.06253780853160759))	0
12	1	POLYGON ((0.751500007753459 0.06253780853160759,0.8141249974170367 0.06253780853160759,0.8141249974170367 0.12507528572335175,0.751500007753459 0.12507528572335175,0.751500007753459 0.06253780853160759))	0
13	1	POLYGON ((0.8141249974170367 0.06253780853160759,0.8767499870806146 0.06253780853160759,0.8767499870806146 0.12507528572335175,0.8141249974170367 0.12507528572335175,0.8141249974170367 0.06253780853160759))	0
14	1	POLYGON ((0.8767499870806146 0.06253780853160759,0.9393749767441922 0.06253780853160759,0.9393749767441922 0.12507528572335175,0.8767499870806146 0.12507528572335175,0.8767499870806146 0.06253780853160759))	0
15	1	POLYGON ((0.9393749767441922 0.06253780853160759,1.00199996640777 0.06253780853160759,1.00199996640777 0.12507528572335175,0.9393749767441922 0.12507528572335175,0.9393749767441922 0.06253780853160759))	0
0	2	POLYGON ((1.3179052653529422E-7 0.12507528572335175,0.06262512145410425 0.12507528572335175,0.06262512145410425 0.18761276291509588,1.3179052653529422E-7 0.18761276291509588,1.3179052653529422E-7 0.12507528572335175))	6169
1	2	POLYGON ((0.06262512145410425 0.12507528572335175,0.12525011111768194 0.12507528572335175,0.12525011111768194 0.18761276291509588,0.06262512145410425 0.18761276291509588,0.06262512145410425 0.12507528572335175))	54773
2	2	POLYGON ((0.12525011111768194 0.12507528572335175,0.18787510078125966 0.12507528572335175,0.18787510078125966 0.18761276291509588,0.12525011111768194 0.18761276291509588,0.12525011111768194 0.12507528572335175))	664366
3	2	POLYGON ((0.18787510078125966 0.12507528572335175,0.2505000904448374 0.12507528572335175,0.2505000904448374 0.18761276291509588,0.18787510078125966 0.18761276291509588,0.18787510078125966 0.12507528572335175))	60327
4	2	POLYGON ((0.2505000904448374 0.12507528572335175,0.31312508010841505 0.12507528572335175,0.31312508010841505 0.18761276291509588,0.2505000904448374 0.18761276291509588,0.2505000904448374 0.12507528572335175))	6372
5	2	POLYGON ((0.31312508010841505 0.12507528572335175,0.37575006977199277 0.12507528572335175,0.37575006977199277 0.18761276291509588,0.31312508010841505 0.18761276291509588,0.31312508010841505 0.12507528572335175))	167
6	2	POLYGON ((0.37575006977199277 0.12507528572335175,0.43837505943557054 0.12507528572335175,0.43837505943557054 0.18761276291509588,0.37575006977199277 0.18761276291509588,0.37575006977199277 0.12507528572335175))	0
