Column	Row	Geometry	Frequency
0	0	POLYGON ((0.0025816602811468137 0.16034607697535933,0.06472402158346077 0.16034607697535933,0.06472402158346077 0.22211285555896326,0.0025816602811468137 0.22211285555896326,0.0025816602811468137 0.16034607697535933))	0
1	0	POLYGON ((0.06472402158346077 0.16034607697535933,0.12686638288577473 0.16034607697535933,0.12686638288577473 0.22211285555896326,0.06472402158346077 0.22211285555896326,0.06472402158346077 0.16034607697535933))	0
2	0	POLYGON ((0.12686638288577473 0.16034607697535933,0.1890087441880887 0.16034607697535933,0.1890087441880887 0.22211285555896326,0.12686638288577473 0.22211285555896326,0.12686638288577473 0.16034607697535933))	0
3	0	POLYGON ((0.1890087441880887 0.16034607697535933,0.25115110549040265 0.16034607697535933,0.25115110549040265 0.22211285555896326,0.1890087441880887 0.22211285555896326,0.1890087441880887 0.16034607697535933))	3
4	0	POLYGON ((0.25115110549040265 0.16034607697535933,0.31329346679271664 0.16034607697535933,0.31329346679271664 0.22211285555896326,0.25115110549040265 0.22211285555896326,0.25115110549040265 0.16034607697535933))	1
5	0	POLYGON ((0.31329346679271664 0.16034607697535933,0.37543582809503057 0.16034607697535933,0.37543582809503057 0.22211285555896326,0.31329346679271664 0.22211285555896326,0.31329346679271664 0.16034607697535933))	14
6	0	POLYGON ((0.37543582809503057 0.16034607697535933,0.4375781893973445 0.16034607697535933,0.4375781893973445 0.22211285555896326,0.37543582809503057 0.22211285555896326,0.37543582809503057 0.16034607697535933))	17
7	0	POLYGON ((0.4375781893973445 0.16034607697535933,0.4997205506996585 0.16034607697535933,0.4997205506996585 0.22211285555896326,0.4375781893973445 0.22211285555896326,0.4375781893973445 0.16034607697535933))	53
8	0	POLYGON ((0.4997205506996585 0.16034607697535933,0.5618629120019725 0.16034607697535933,0.5618629120019725 0.22211285555896326,0.4997205506996585 0.22211285555896326,0.4997205506996585 0.16034607697535933))	46
9	0	POLYGON ((0.5618629120019725 0.16034607697535933,0.6240052733042865 0.16034607697535933,0.6240052733042865 0.22211285555896326,0.5618629120019725 0.22211285555896326,0.5618629120019725 0.16034607697535933))	27
10	0	POLYGON ((0.6240052733042865 0.16034607697535933,0.6861476346066003 0.16034607697535933,0.6861476346066003 0.22211285555896326,0.6240052733042865 0.22211285555896326,0.6240052733042865 0.16034607697535933))	17
11	0	POLYGON ((0.6861476346066003 0.16034607697535933,0.7482899959089143 0.16034607697535933,0.7482899959089143 0.22211285555896326,0.6861476346066003 0.22211285555896326,0.6861476346066003 0.16034607697535933))	4
12	0	POLYGON ((0.7482899959089143 0.16034607697535933,0.8104323572112283 0.16034607697535933,0.8104323572112283 0.22211285555896326,0.7482899959089143 0.22211285555896326,0.7482899959089143 0.16034607697535933))	2
13	0	POLYGON ((0.8104323572112283 0.16034607697535933,0.8725747185135422 0.16034607697535933,0.8725747185135422 0.22211285555896326,0.8104323572112283 0.22211285555896326,0.8104323572112283 0.16034607697535933))	0
14	0	POLYGON ((0.8725747185135422 0.16034607697535933,0.9347170798158562 0.16034607697535933,0.9347170798158562 0.22211285555896326,0.8725747185135422 0.22211285555896326,0.8725747185135422 0.16034607697535933))	0
15	0	POLYGON ((0.9347170798158562 0.16034607697535933,0.9968594411181702 0.16034607697535933,0.9968594411181702 0.22211285555896326,0.9347170798158562 0.22211285555896326,0.9347170798158562 0.16034607697535933))	0
