Column	Row	Geometry	Frequency
0	0	POLYGON ((0.4376065537492504 -0.18299999113669813,0.45319813324957037 -0.18299999113669813,0.45319813324957037 -0.14018749781994924,0.4376065537492504 -0.14018749781994924,0.4376065537492504 -0.18299999113669813))	0
1	0	POLYGON ((0.45319813324957037 -0.18299999113669813,0.46878971274989023 -0.18299999113669813,0.46878971274989023 -0.14018749781994924,0.45319813324957037 -0.14018749781994924,0.45319813324957037 -0.18299999113669813))	0
2	0	POLYGON ((0.46878971274989023 -0.18299999113669813,0.4843812922502102 -0.18299999113669813,0.4843812922502102 -0.14018749781994924,0.46878971274989023 -0.14018749781994924,0.46878971274989023 -0.18299999113669813))	1872
3	0	POLYGON ((0.4843812922502102 -0.18299999113669813,0.49997287175053007 -0.18299999113669813,0.49997287175053007 -0.14018749781994924,0.4843812922502102 -0.14018749781994924,0.4843812922502102 -0.18299999113669813))	25604
4	0	POLYGON ((0.49997287175053007 -0.18299999113669813,0.51556445125085 -0.18299999113669813,0.51556445125085 -0.14018749781994924,0.49997287175053007 -0.14018749781994924,0.49997287175053007 -0.18299999113669813))	356012
5	0	POLYGON ((0.51556445125085 -0.18299999113669813,0.53115603075117 -0.18299999113669813,0.53115603075117 -0.14018749781994924,0.51556445125085 -0.14018749781994924,0.51556445125085 -0.18299999113669813))	24172
6	0	POLYGON ((0.53115603075117 -0.18299999113669813,0.5467476102514899 -0.18299999113669813,0.5467476102514899 -0.14018749781994924,0.53115603075117 -0.14018749781994924,0.53115603075117 -0.18299999113669813))	8994
7	0	POLYGON ((0.5467476102514899 -0.18299999113669813,0.5623391897518099 -0.18299999113669813,0.5623391897518099 -0.14018749781994924,0.5467476102514899 -0.14018749781994924,0.5467476102514899 -0.18299999113669813))	1806
8	0	POLYGON ((0.5623391897518099 -0.18299999113669813,0.5779307692521298 -0.18299999113669813,0.5779307692521298 -0.14018749781994924,0.5623391897518099 -0.14018749781994924,0.5623391897518099 -0.18299999113669813))	90
9	0	POLYGON ((0.5779307692521298 -0.18299999113669813,0.5935223487524497 -0.18299999113669813,0.5935223487524497 -0.14018749781994924,0.5779307692521298 -0.14018749781994924,0.5779307692521298 -0.18299999113669813))	0
10	0	POLYGON ((0.5935223487524497 -0.18299999113669813,0.6091139282527696 -0.18299999113669813,0.6091139282527696 -0.14018749781994924,0.5935223487524497 -0.14018749781994924,0.5935223487524497 -0.18299999113669813))	0
