Column	Row	Geometry	Frequency
0	0	POLYGON ((0.00276902347178154 -0.24611996367022715,0.033919576945280416 -0.24611996367022715,0.033919576945280416 -0.2149869975618894,0.00276902347178154 -0.2149869975618894,0.00276902347178154 -0.24611996367022715))	0
1	0	POLYGON ((0.033919576945280416 -0.24611996367022715,0.06507013041877929 -0.24611996367022715,0.06507013041877929 -0.2149869975618894,0.033919576945280416 -0.2149869975618894,0.033919576945280416 -0.24611996367022715))	0
2	0	POLYGON ((0.06507013041877929 -0.24611996367022715,0.09622068389227818 -0.24611996367022715,0.09622068389227818 -0.2149869975618894,0.06507013041877929 -0.2149869975618894,0.06507013041877929 -0.24611996367022715))	0
3	0	POLYGON ((0.09622068389227818 -0.24611996367022715,0.12737123736577705 -0.24611996367022715,0.12737123736577705 -0.2149869975618894,0.09622068389227818 -0.2149869975618894,0.09622068389227818 -0.24611996367022715))	0
4	0	POLYGON ((0.12737123736577705 -0.24611996367022715,0.15852179083927595 -0.24611996367022715,0.15852179083927595 -0.2149869975618894,0.12737123736577705 -0.2149869975618894,0.12737123736577705 -0.24611996367022715))	0
5	0	POLYGON ((0.15852179083927595 -0.24611996367022715,0.18967234431277483 -0.24611996367022715,0.18967234431277483 -0.2149869975618894,0.15852179083927595 -0.2149869975618894,0.15852179083927595 -0.24611996367022715))	0
6	0	POLYGON ((0.18967234431277483 -0.24611996367022715,0.2208228977862737 -0.24611996367022715,0.2208228977862737 -0.2149869975618894,0.18967234431277483 -0.2149869975618894,0.18967234431277483 -0.24611996367022715))	0
7	0	POLYGON ((0.2208228977862737 -0.24611996367022715,0.25197345125977255 -0.24611996367022715,0.25197345125977255 -0.2149869975618894,0.2208228977862737 -0.2149869975618894,0.2208228977862737 -0.24611996367022715))	0
8	0	POLYGON ((0.25197345125977255 -0.24611996367022715,0.2831240047332715 -0.24611996367022715,0.2831240047332715 -0.2149869975618894,0.25197345125977255 -0.2149869975618894,0.25197345125977255 -0.24611996367022715))	0
9	0	POLYGON ((0.2831240047332715 -0.24611996367022715,0.31427455820677036 -0.24611996367022715,0.31427455820677036 -0.2149869975618894,0.2831240047332715 -0.2149869975618894,0.2831240047332715 -0.24611996367022715))	0
10	0	POLYGON ((0.31427455820677036 -0.24611996367022715,0.34542511168026924 -0.24611996367022715,0.34542511168026924 -0.2149869975618894,0.31427455820677036 -0.2149869975618894,0.31427455820677036 -0.24611996367022715))	0
11	0	POLYGON ((0.34542511168026924 -0.24611996367022715,0.3765756651537681 -0.24611996367022715,0.3765756651537681 -0.2149869975618894,0.34542511168026924 -0.2149869975618894,0.34542511168026924 -0.24611996367022715))	1
12	0	POLYGON ((0.3765756651537681 -0.24611996367022715,0.407726218627267 -0.24611996367022715,0.407726218627267 -0.2149869975618894,0.3765756651537681 -0.2149869975618894,0.3765756651537681 -0.24611996367022715))	1
13	0	POLYGON ((0.407726218627267 -0.24611996367022715,0.43887677210076587 -0.24611996367022715,0.43887677210076587 -0.2149869975618894,0.407726218627267 -0.2149869975618894,0.407726218627267 -0.24611996367022715))	3
14	0	POLYGON ((0.43887677210076587 -0.24611996367022715,0.47002732557426474 -0.24611996367022715,0.47002732557426474 -0.2149869975618894,0.43887677210076587 -0.2149869975618894,0.43887677210076587 -0.24611996367022715))	2
15	0	POLYGON ((0.47002732557426474 -0.24611996367022715,0.5011778790477637 -0.24611996367022715,0.5011778790477637 -0.2149869975618894,0.47002732557426474 -0.2149869975618894,0.47002732557426474 -0.24611996367022715))	1
16	0	POLYGON ((0.5011778790477637 -0.24611996367022715,0.5323284325212626 -0.24611996367022715,0.5323284325212626 -0.2149869975618894,0.5011778790477637 -0.2149869975618894,0.5011778790477637 -0.24611996367022715))	1
17	0	POLYGON ((0.5323284325212626 -0.24611996367022715,0.5634789859947614 -0.24611996367022715,0.5634789859947614 -0.2149869975618894,0.5323284325212626 -0.2149869975618894,0.5323284325212626 -0.24611996367022715))	0
18	0	POLYGON ((0.5634789859947614 -0.24611996367022715,0.5946295394682602 -0.24611996367022715,0.5946295394682602 -0.2149869975618894,0.5634789859947614 -0.2149869975618894,0.5634789859947614 -0.24611996367022715))	2
19	0	POLYGON ((0.5946295394682602 -0.24611996367022715,0.6257800929417592 -0.24611996367022715,0.6257800929417592 -0.2149869975618894,0.5946295394682602 -0.2149869975618894,0.5946295394682602 -0.24611996367022715))	0
20	0	POLYGON ((0.6257800929417592 -0.24611996367022715,0.6569306464152581 -0.24611996367022715,0.6569306464152581 -0.2149869975618894,0.6257800929417592 -0.2149869975618894,0.6257800929417592 -0.24611996367022715))	0
21	0	POLYGON ((0.6569306464152581 -0.24611996367022715,0.6880811998887569 -0.24611996367022715,0.6880811998887569 -0.2149869975618894,0.6569306464152581 -0.2149869975618894,0.6569306464152581 -0.24611996367022715))	0
22	0	POLYGON ((0.6880811998887569 -0.24611996367022715,0.7192317533622558 -0.24611996367022715,0.7192317533622558 -0.2149869975618894,0.6880811998887569 -0.2149869975618894,0.6880811998887569 -0.24611996367022715))	0
23	0	POLYGON ((0.7192317533622558 -0.24611996367022715,0.7503823068357547 -0.24611996367022715,0.7503823068357547 -0.2149869975618894,0.7192317533622558 -0.2149869975618894,0.7192317533622558 -0.24611996367022715))	0
24	0	POLYGON ((0.7503823068357547 -0.24611996367022715,0.7815328603092536 -0.24611996367022715,0.7815328603092536 -0.2149869975618894,0.7503823068357547 -0.2149869975618894,0.7503823068357547 -0.24611996367022715))	0
25	0	POLYGON ((0.7815328603092536 -0.24611996367022715,0.8126834137827524 -0.24611996367022715,0.8126834137827524 -0.2149869975618894,0.7815328603092536 -0.2149869975618894,0.7815328603092536 -0.24611996367022715))	0
26	0	POLYGON ((0.8126834137827524 -0.24611996367022715,0.8438339672562513 -0.24611996367022715,0.8438339672562513 -0.2149869975618894,0.8126834137827524 -0.2149869975618894,0.8126834137827524 -0.24611996367022715))	0
27	0	POLYGON ((0.8438339672562513 -0.24611996367022715,0.8749845207297502 -0.24611996367022715,0.8749845207297502 -0.2149869975618894,0.8438339672562513 -0.2149869975618894,0.8438339672562513 -0.24611996367022715))	0
28	0	POLYGON ((0.8749845207297502 -0.24611996367022715,0.9061350742032491 -0.24611996367022715,0.9061350742032491 -0.2149869975618894,0.8749845207297502 -0.2149869975618894,0.8749845207297502 -0.24611996367022715))	0
29	0	POLYGON ((0.9061350742032491 -0.24611996367022715,0.937285627676748 -0.24611996367022715,0.937285627676748 -0.2149869975618894,0.9061350742032491 -0.2149869975618894,0.9061350742032491 -0.24611996367022715))	0
30	0	POLYGON ((0.937285627676748 -0.24611996367022715,0.9684361811502468 -0.24611996367022715,0.9684361811502468 -0.2149869975618894,0.937285627676748 -0.2149869975618894,0.937285627676748 -0.24611996367022715))	0
31	0	POLYGON ((0.9684361811502468 -0.24611996367022715,0.9995867346237457 -0.24611996367022715,0.9995867346237457 -0.2149869975618894,0.9684361811502468 -0.2149869975618894,0.9684361811502468 -0.24611996367022715))	0
0	1	POLYGON ((0.00276902347178154 -0.2149869975618894,0.033919576945280416 -0.2149869975618894,0.033919576945280416 -0.18385403145355164,0.00276902347178154 -0.18385403145355164,0.00276902347178154 -0.2149869975618894))	0
1	1	POLYGON ((0.033919576945280416 -0.2149869975618894,0.06507013041877929 -0.2149869975618894,0.06507013041877929 -0.18385403145355164,0.033919576945280416 -0.18385403145355164,0.033919576945280416 -0.2149869975618894))	0
2	1	POLYGON ((0.06507013041877929 -0.2149869975618894,0.09622068389227818 -0.2149869975618894,0.09622068389227818 -0.18385403145355164,0.06507013041877929 -0.18385403145355164,0.06507013041877929 -0.2149869975618894))	0
3	1	POLYGON ((0.09622068389227818 -0.2149869975618894,0.12737123736577705 -0.2149869975618894,0.12737123736577705 -0.18385403145355164,0.09622068389227818 -0.18385403145355164,0.09622068389227818 -0.2149869975618894))	0
4	1	POLYGON ((0.12737123736577705 -0.2149869975618894,0.15852179083927595 -0.2149869975618894,0.15852179083927595 -0.18385403145355164,0.12737123736577705 -0.18385403145355164,0.12737123736577705 -0.2149869975618894))	0
5	1	POLYGON ((0.15852179083927595 -0.2149869975618894,0.18967234431277483 -0.2149869975618894,0.18967234431277483 -0.18385403145355164,0.15852179083927595 -0.18385403145355164,0.15852179083927595 -0.2149869975618894))	0
6	1	POLYGON ((0.18967234431277483 -0.2149869975618894,0.2208228977862737 -0.2149869975618894,0.2208228977862737 -0.18385403145355164,0.18967234431277483 -0.18385403145355164,0.18967234431277483 -0.2149869975618894))	0
7	1	POLYGON ((0.2208228977862737 -0.2149869975618894,0.25197345125977255 -0.2149869975618894,0.25197345125977255 -0.18385403145355164,0.2208228977862737 -0.18385403145355164,0.2208228977862737 -0.2149869975618894))	0
8	1	POLYGON ((0.25197345125977255 -0.2149869975618894,0.2831240047332715 -0.2149869975618894,0.2831240047332715 -0.18385403145355164,0.25197345125977255 -0.18385403145355164,0.25197345125977255 -0.2149869975618894))	0
9	1	POLYGON ((0.2831240047332715 -0.2149869975618894,0.31427455820677036 -0.2149869975618894,0.31427455820677036 -0.18385403145355164,0.2831240047332715 -0.18385403145355164,0.2831240047332715 -0.2149869975618894))	0
10	1	POLYGON ((0.31427455820677036 -0.2149869975618894,0.34542511168026924 -0.2149869975618894,0.34542511168026924 -0.18385403145355164,0.31427455820677036 -0.18385403145355164,0.31427455820677036 -0.2149869975618894))	3
11	1	POLYGON ((0.34542511168026924 -0.2149869975618894,0.3765756651537681 -0.2149869975618894,0.3765756651537681 -0.18385403145355164,0.34542511168026924 -0.18385403145355164,0.34542511168026924 -0.2149869975618894))	6
12	1	POLYGON ((0.3765756651537681 -0.2149869975618894,0.407726218627267 -0.2149869975618894,0.407726218627267 -0.18385403145355164,0.3765756651537681 -0.18385403145355164,0.3765756651537681 -0.2149869975618894))	2
13	1	POLYGON ((0.407726218627267 -0.2149869975618894,0.43887677210076587 -0.2149869975618894,0.43887677210076587 -0.18385403145355164,0.407726218627267 -0.18385403145355164,0.407726218627267 -0.2149869975618894))	1
14	1	POLYGON ((0.43887677210076587 -0.2149869975618894,0.47002732557426474 -0.2149869975618894,0.47002732557426474 -0.18385403145355164,0.43887677210076587 -0.18385403145355164,0.43887677210076587 -0.2149869975618894))	8
15	1	POLYGON ((0.47002732557426474 -0.2149869975618894,0.5011778790477637 -0.2149869975618894,0.5011778790477637 -0.18385403145355164,0.47002732557426474 -0.18385403145355164,0.47002732557426474 -0.2149869975618894))	6
16	1	POLYGON ((0.5011778790477637 -0.2149869975618894,0.5323284325212626 -0.2149869975618894,0.5323284325212626 -0.18385403145355164,0.5011778790477637 -0.18385403145355164,0.5011778790477637 -0.2149869975618894))	11
17	1	POLYGON ((0.5323284325212626 -0.2149869975618894,0.5634789859947614 -0.2149869975618894,0.5634789859947614 -0.18385403145355164,0.5323284325212626 -0.18385403145355164,0.5323284325212626 -0.2149869975618894))	5
18	1	POLYGON ((0.5634789859947614 -0.2149869975618894,0.5946295394682602 -0.2149869975618894,0.5946295394682602 -0.18385403145355164,0.5634789859947614 -0.18385403145355164,0.5634789859947614 -0.2149869975618894))	3
19	1	POLYGON ((0.5946295394682602 -0.2149869975618894,0.6257800929417592 -0.2149869975618894,0.6257800929417592 -0.18385403145355164,0.5946295394682602 -0.18385403145355164,0.5946295394682602 -0.2149869975618894))	5
20	1	POLYGON ((0.6257800929417592 -0.2149869975618894,0.6569306464152581 -0.2149869975618894,0.6569306464152581 -0.18385403145355164,0.6257800929417592 -0.18385403145355164,0.6257800929417592 -0.2149869975618894))	1
21	1	POLYGON ((0.6569306464152581 -0.2149869975618894,0.6880811998887569 -0.2149869975618894,0.6880811998887569 -0.18385403145355164,0.6569306464152581 -0.18385403145355164,0.6569306464152581 -0.2149869975618894))	0
22	1	POLYGON ((0.6880811998887569 -0.2149869975618894,0.7192317533622558 -0.2149869975618894,0.7192317533622558 -0.18385403145355164,0.6880811998887569 -0.18385403145355164,0.6880811998887569 -0.2149869975618894))	1
23	1	POLYGON ((0.7192317533622558 -0.2149869975618894,0.7503823068357547 -0.2149869975618894,0.7503823068357547 -0.18385403145355164,0.7192317533622558 -0.18385403145355164,0.7192317533622558 -0.2149869975618894))	0
24	1	POLYGON ((0.7503823068357547 -0.2149869975618894,0.7815328603092536 -0.2149869975618894,0.7815328603092536 -0.18385403145355164,0.7503823068357547 -0.18385403145355164,0.7503823068357547 -0.2149869975618894))	0
25	1	POLYGON ((0.7815328603092536 -0.2149869975618894,0.8126834137827524 -0.2149869975618894,0.8126834137827524 -0.18385403145355164,0.7815328603092536 -0.18385403145355164,0.7815328603092536 -0.2149869975618894))	0
26	1	POLYGON ((0.8126834137827524 -0.2149869975618894,0.8438339672562513 -0.2149869975618894,0.8438339672562513 -0.18385403145355164,0.8126834137827524 -0.18385403145355164,0.8126834137827524 -0.2149869975618894))	0
27	1	POLYGON ((0.8438339672562513 -0.2149869975618894,0.8749845207297502 -0.2149869975618894,0.8749845207297502 -0.18385403145355164,0.8438339672562513 -0.18385403145355164,0.8438339672562513 -0.2149869975618894))	0
28	1	POLYGON ((0.8749845207297502 -0.2149869975618894,0.9061350742032491 -0.2149869975618894,0.9061350742032491 -0.18385403145355164,0.8749845207297502 -0.18385403145355164,0.8749845207297502 -0.2149869975618894))	0
29	1	POLYGON ((0.9061350742032491 -0.2149869975618894,0.937285627676748 -0.2149869975618894,0.937285627676748 -0.18385403145355164,0.9061350742032491 -0.18385403145355164,0.9061350742032491 -0.2149869975618894))	0
30	1	POLYGON ((0.937285627676748 -0.2149869975618894,0.9684361811502468 -0.2149869975618894,0.9684361811502468 -0.18385403145355164,0.937285627676748 -0.18385403145355164,0.937285627676748 -0.2149869975618894))	0
31	1	POLYGON ((0.9684361811502468 -0.2149869975618894,0.9995867346237457 -0.2149869975618894,0.9995867346237457 -0.18385403145355164,0.9684361811502468 -0.18385403145355164,0.9684361811502468 -0.2149869975618894))	0
0	2	POLYGON ((0.00276902347178154 -0.18385403145355164,0.033919576945280416 -0.18385403145355164,0.033919576945280416 -0.15272106534521393,0.00276902347178154 -0.15272106534521393,0.00276902347178154 -0.18385403145355164))	0
1	2	POLYGON ((0.033919576945280416 -0.18385403145355164,0.06507013041877929 -0.18385403145355164,0.06507013041877929 -0.15272106534521393,0.033919576945280416 -0.15272106534521393,0.033919576945280416 -0.18385403145355164))	0
2	2	POLYGON ((0.06507013041877929 -0.18385403145355164,0.09622068389227818 -0.18385403145355164,0.09622068389227818 -0.15272106534521393,0.06507013041877929 -0.15272106534521393,0.06507013041877929 -0.18385403145355164))	0
3	2	POLYGON ((0.09622068389227818 -0.18385403145355164,0.12737123736577705 -0.18385403145355164,0.12737123736577705 -0.15272106534521393,0.09622068389227818 -0.15272106534521393,0.09622068389227818 -0.18385403145355164))	0
4	2	POLYGON ((0.12737123736577705 -0.18385403145355164,0.15852179083927595 -0.18385403145355164,0.15852179083927595 -0.15272106534521393,0.12737123736577705 -0.15272106534521393,0.12737123736577705 -0.18385403145355164))	0
5	2	POLYGON ((0.15852179083927595 -0.18385403145355164,0.18967234431277483 -0.18385403145355164,0.18967234431277483 -0.15272106534521393,0.15852179083927595 -0.15272106534521393,0.15852179083927595 -0.18385403145355164))	0
6	2	POLYGON ((0.18967234431277483 -0.18385403145355164,0.2208228977862737 -0.18385403145355164,0.2208228977862737 -0.15272106534521393,0.18967234431277483 -0.15272106534521393,0.18967234431277483 -0.18385403145355164))	1
7	2	POLYGON ((0.2208228977862737 -0.18385403145355164,0.25197345125977255 -0.18385403145355164,0.25197345125977255 -0.15272106534521393,0.2208228977862737 -0.15272106534521393,0.2208228977862737 -0.18385403145355164))	1
