Column	Row	Geometry	Frequency
0	0	POLYGON ((5.69228442159897E-9 5.69228442159897E-9,0.015640629803660922 5.69228442159897E-9,0.015640629803660922 0.015648440326705728,5.69228442159897E-9 0.015648440326705728,5.69228442159897E-9 5.69228442159897E-9))	246577
1	0	POLYGON ((0.015640629803660922 5.69228442159897E-9,0.03128125391503742 5.69228442159897E-9,0.03128125391503742 0.015648440326705728,0.015640629803660922 0.015648440326705728,0.015640629803660922 5.69228442159897E-9))	18019
2	0	POLYGON ((0.03128125391503742 5.69228442159897E-9,0.04692187802641392 5.69228442159897E-9,0.04692187802641392 0.015648440326705728,0.03128125391503742 0.015648440326705728,0.03128125391503742 5.69228442159897E-9))	11820
3	0	POLYGON ((0.04692187802641392 5.69228442159897E-9,0.06256250213779042 5.69228442159897E-9,0.06256250213779042 0.015648440326705728,0.04692187802641392 0.015648440326705728,0.04692187802641392 5.69228442159897E-9))	5576
4	0	POLYGON ((0.06256250213779042 5.69228442159897E-9,0.07820312624916692 5.69228442159897E-9,0.07820312624916692 0.015648440326705728,0.06256250213779042 0.015648440326705728,0.06256250213779042 5.69228442159897E-9))	2082
5	0	POLYGON ((0.07820312624916692 5.69228442159897E-9,0.09384375036054342 5.69228442159897E-9,0.09384375036054342 0.015648440326705728,0.07820312624916692 0.015648440326705728,0.07820312624916692 5.69228442159897E-9))	545
6	0	POLYGON ((0.09384375036054342 5.69228442159897E-9,0.10948437447191992 5.69228442159897E-9,0.10948437447191992 0.015648440326705728,0.09384375036054342 0.015648440326705728,0.09384375036054342 5.69228442159897E-9))	125
7	0	POLYGON ((0.10948437447191992 5.69228442159897E-9,0.12512499858329643 5.69228442159897E-9,0.12512499858329643 0.015648440326705728,0.10948437447191992 0.015648440326705728,0.10948437447191992 5.69228442159897E-9))	18
8	0	POLYGON ((0.12512499858329643 5.69228442159897E-9,0.14076562269467294 5.69228442159897E-9,0.14076562269467294 0.015648440326705728,0.12512499858329643 0.015648440326705728,0.12512499858329643 5.69228442159897E-9))	4
9	0	POLYGON ((0.14076562269467294 5.69228442159897E-9,0.15640624680604942 5.69228442159897E-9,0.15640624680604942 0.015648440326705728,0.14076562269467294 0.015648440326705728,0.14076562269467294 5.69228442159897E-9))	0
