Column	Row	Geometry	Frequency
0	0	POLYGON ((4.798168862230057E-9 4.798168862230057E-9,0.01562609582370282 4.798168862230057E-9,0.01562609582370282 0.015664066955130056,4.798168862230057E-9 0.015664066955130056,4.798168862230057E-9 4.798168862230057E-9))	94589
1	0	POLYGON ((0.01562609582370282 4.798168862230057E-9,0.03125218684923678 4.798168862230057E-9,0.03125218684923678 0.015664066955130056,0.01562609582370282 0.015664066955130056,0.01562609582370282 4.798168862230057E-9))	8381
2	0	POLYGON ((0.03125218684923678 4.798168862230057E-9,0.04687827787477073 4.798168862230057E-9,0.04687827787477073 0.015664066955130056,0.03125218684923678 0.015664066955130056,0.03125218684923678 4.798168862230057E-9))	5379
3	0	POLYGON ((0.04687827787477073 4.798168862230057E-9,0.0625043689003047 4.798168862230057E-9,0.0625043689003047 0.015664066955130056,0.04687827787477073 0.015664066955130056,0.04687827787477073 4.798168862230057E-9))	2530
4	0	POLYGON ((0.0625043689003047 4.798168862230057E-9,0.07813045992583866 4.798168862230057E-9,0.07813045992583866 0.015664066955130056,0.0625043689003047 0.015664066955130056,0.0625043689003047 4.798168862230057E-9))	949
5	0	POLYGON ((0.07813045992583866 4.798168862230057E-9,0.0937565509513726 4.798168862230057E-9,0.0937565509513726 0.015664066955130056,0.07813045992583866 0.015664066955130056,0.07813045992583866 4.798168862230057E-9))	249
6	0	POLYGON ((0.0937565509513726 4.798168862230057E-9,0.10938264197690656 4.798168862230057E-9,0.10938264197690656 0.015664066955130056,0.0937565509513726 0.015664066955130056,0.0937565509513726 4.798168862230057E-9))	48
7	0	POLYGON ((0.10938264197690656 4.798168862230057E-9,0.12500873300244053 4.798168862230057E-9,0.12500873300244053 0.015664066955130056,0.10938264197690656 0.015664066955130056,0.10938264197690656 4.798168862230057E-9))	6
8	0	POLYGON ((0.12500873300244053 4.798168862230057E-9,0.14063482402797448 4.798168862230057E-9,0.14063482402797448 0.015664066955130056,0.12500873300244053 0.015664066955130056,0.12500873300244053 4.798168862230057E-9))	0
9	0	POLYGON ((0.14063482402797448 4.798168862230057E-9,0.15626091505350845 4.798168862230057E-9,0.15626091505350845 0.015664066955130056,0.14063482402797448 0.015664066955130056,0.14063482402797448 4.798168862230057E-9))	0
10	0	POLYGON ((0.15626091505350845 4.798168862230057E-9,0.1718870060790424 4.798168862230057E-9,0.1718870060790424 0.015664066955130056,0.15626091505350845 0.015664066955130056,0.15626091505350845 4.798168862230057E-9))	0
