Column	Row	Geometry	Frequency
0	0	POLYGON ((0.0 0.0,0.015624999995953796 0.0,0.015624999995953796 0.015624999617273162,0.0 0.015624999617273162,0.0 0.0))	8835
1	0	POLYGON ((0.015624999995953796 0.0,0.03124999999190759 0.0,0.03124999999190759 0.015624999617273162,0.015624999995953796 0.015624999617273162,0.015624999995953796 0.0))	3437
2	0	POLYGON ((0.03124999999190759 0.0,0.04687499998786139 0.0,0.04687499998786139 0.015624999617273162,0.03124999999190759 0.015624999617273162,0.03124999999190759 0.0))	3146
3	0	POLYGON ((0.04687499998786139 0.0,0.06249999998381518 0.0,0.06249999998381518 0.015624999617273162,0.04687499998786139 0.015624999617273162,0.04687499998786139 0.0))	6089
4	0	POLYGON ((0.06249999998381518 0.0,0.07812499997976897 0.0,0.07812499997976897 0.015624999617273162,0.06249999998381518 0.015624999617273162,0.06249999998381518 0.0))	3768
5	0	POLYGON ((0.07812499997976897 0.0,0.09374999997572278 0.0,0.09374999997572278 0.015624999617273162,0.07812499997976897 0.015624999617273162,0.07812499997976897 0.0))	9129
6	0	POLYGON ((0.09374999997572278 0.0,0.10937499997167657 0.0,0.10937499997167657 0.015624999617273162,0.09374999997572278 0.015624999617273162,0.09374999997572278 0.0))	9264
7	0	POLYGON ((0.10937499997167657 0.0,0.12499999996763037 0.0,0.12499999996763037 0.015624999617273162,0.10937499997167657 0.015624999617273162,0.10937499997167657 0.0))	10803
8	0	POLYGON ((0.12499999996763037 0.0,0.14062499996358416 0.0,0.14062499996358416 0.015624999617273162,0.12499999996763037 0.015624999617273162,0.12499999996763037 0.0))	8576
9	0	POLYGON ((0.14062499996358416 0.0,0.15624999995953795 0.0,0.15624999995953795 0.015624999617273162,0.14062499996358416 0.015624999617273162,0.14062499996358416 0.0))	7020
10	0	POLYGON ((0.15624999995953795 0.0,0.17187499995549174 0.0,0.17187499995549174 0.015624999617273162,0.15624999995953795 0.015624999617273162,0.15624999995953795 0.0))	4814
11	0	POLYGON ((0.17187499995549174 0.0,0.18749999995144556 0.0,0.18749999995144556 0.015624999617273162,0.17187499995549174 0.015624999617273162,0.17187499995549174 0.0))	3707
12	0	POLYGON ((0.18749999995144556 0.0,0.20312499994739935 0.0,0.20312499994739935 0.015624999617273162,0.18749999995144556 0.015624999617273162,0.18749999995144556 0.0))	9955
13	0	POLYGON ((0.20312499994739935 0.0,0.21874999994335315 0.0,0.21874999994335315 0.015624999617273162,0.20312499994739935 0.015624999617273162,0.20312499994739935 0.0))	7880
14	0	POLYGON ((0.21874999994335315 0.0,0.23437499993930694 0.0,0.23437499993930694 0.015624999617273162,0.21874999994335315 0.015624999617273162,0.21874999994335315 0.0))	8953
15	0	POLYGON ((0.23437499993930694 0.0,0.24999999993526073 0.0,0.24999999993526073 0.015624999617273162,0.23437499993930694 0.015624999617273162,0.23437499993930694 0.0))	3100
16	0	POLYGON ((0.24999999993526073 0.0,0.2656249999312145 0.0,0.2656249999312145 0.015624999617273162,0.24999999993526073 0.015624999617273162,0.24999999993526073 0.0))	3279
17	0	POLYGON ((0.2656249999312145 0.0,0.2812499999271683 0.0,0.2812499999271683 0.015624999617273162,0.2656249999312145 0.015624999617273162,0.2656249999312145 0.0))	3208
18	0	POLYGON ((0.2812499999271683 0.0,0.2968749999231221 0.0,0.2968749999231221 0.015624999617273162,0.2812499999271683 0.015624999617273162,0.2812499999271683 0.0))	1757
19	0	POLYGON ((0.2968749999231221 0.0,0.3124999999190759 0.0,0.3124999999190759 0.015624999617273162,0.2968749999231221 0.015624999617273162,0.2968749999231221 0.0))	3516
20	0	POLYGON ((0.3124999999190759 0.0,0.3281249999150297 0.0,0.3281249999150297 0.015624999617273162,0.3124999999190759 0.015624999617273162,0.3124999999190759 0.0))	6622
21	0	POLYGON ((0.3281249999150297 0.0,0.3437499999109835 0.0,0.3437499999109835 0.015624999617273162,0.3281249999150297 0.015624999617273162,0.3281249999150297 0.0))	7969
22	0	POLYGON ((0.3437499999109835 0.0,0.3593749999069373 0.0,0.3593749999069373 0.015624999617273162,0.3437499999109835 0.015624999617273162,0.3437499999109835 0.0))	7185
23	0	POLYGON ((0.3593749999069373 0.0,0.3749999999028911 0.0,0.3749999999028911 0.015624999617273162,0.3593749999069373 0.015624999617273162,0.3593749999069373 0.0))	5576
24	0	POLYGON ((0.3749999999028911 0.0,0.3906249998988449 0.0,0.3906249998988449 0.015624999617273162,0.3749999999028911 0.015624999617273162,0.3749999999028911 0.0))	6290
