Column	Row	Geometry	Frequency
0	0	POLYGON ((4.2241345865612345E-8 7.660103584772315E-8,0.0156264475517462 7.660103584772315E-8,0.0156264475517462 0.01562562222316262,4.2241345865612345E-8 0.01562562222316262,4.2241345865612345E-8 7.660103584772315E-8))	6252
1	0	POLYGON ((0.0156264475517462 7.660103584772315E-8,0.03125285286214653 7.660103584772315E-8,0.03125285286214653 0.01562562222316262,0.0156264475517462 0.01562562222316262,0.0156264475517462 7.660103584772315E-8))	5985
2	0	POLYGON ((0.03125285286214653 7.660103584772315E-8,0.04687925817254687 7.660103584772315E-8,0.04687925817254687 0.01562562222316262,0.03125285286214653 0.01562562222316262,0.03125285286214653 7.660103584772315E-8))	6130
3	0	POLYGON ((0.04687925817254687 7.660103584772315E-8,0.0625056634829472 7.660103584772315E-8,0.0625056634829472 0.01562562222316262,0.04687925817254687 0.01562562222316262,0.04687925817254687 7.660103584772315E-8))	6012
4	0	POLYGON ((0.0625056634829472 7.660103584772315E-8,0.07813206879334754 7.660103584772315E-8,0.07813206879334754 0.01562562222316262,0.0625056634829472 0.01562562222316262,0.0625056634829472 7.660103584772315E-8))	6073
5	0	POLYGON ((0.07813206879334754 7.660103584772315E-8,0.09375847410374788 7.660103584772315E-8,0.09375847410374788 0.01562562222316262,0.07813206879334754 0.01562562222316262,0.07813206879334754 7.660103584772315E-8))	6070
6	0	POLYGON ((0.09375847410374788 7.660103584772315E-8,0.1093848794141482 7.660103584772315E-8,0.1093848794141482 0.01562562222316262,0.09375847410374788 0.01562562222316262,0.09375847410374788 7.660103584772315E-8))	6149
7	0	POLYGON ((0.1093848794141482 7.660103584772315E-8,0.12501128472454853 7.660103584772315E-8,0.12501128472454853 0.01562562222316262,0.1093848794141482 0.01562562222316262,0.1093848794141482 7.660103584772315E-8))	6096
8	0	POLYGON ((0.12501128472454853 7.660103584772315E-8,0.1406376900349489 7.660103584772315E-8,0.1406376900349489 0.01562562222316262,0.12501128472454853 0.01562562222316262,0.12501128472454853 7.660103584772315E-8))	6048
9	0	POLYGON ((0.1406376900349489 7.660103584772315E-8,0.1562640953453492 7.660103584772315E-8,0.1562640953453492 0.01562562222316262,0.1406376900349489 0.01562562222316262,0.1406376900349489 7.660103584772315E-8))	6063
10	0	POLYGON ((0.1562640953453492 7.660103584772315E-8,0.17189050065574954 7.660103584772315E-8,0.17189050065574954 0.01562562222316262,0.1562640953453492 0.01562562222316262,0.1562640953453492 7.660103584772315E-8))	6125
11	0	POLYGON ((0.17189050065574954 7.660103584772315E-8,0.1875169059661499 7.660103584772315E-8,0.1875169059661499 0.01562562222316262,0.17189050065574954 0.01562562222316262,0.17189050065574954 7.660103584772315E-8))	6074
12	0	POLYGON ((0.1875169059661499 7.660103584772315E-8,0.20314331127655022 7.660103584772315E-8,0.20314331127655022 0.01562562222316262,0.1875169059661499 0.01562562222316262,0.1875169059661499 7.660103584772315E-8))	6009
13	0	POLYGON ((0.20314331127655022 7.660103584772315E-8,0.21876971658695055 7.660103584772315E-8,0.21876971658695055 0.01562562222316262,0.20314331127655022 0.01562562222316262,0.20314331127655022 7.660103584772315E-8))	6024
14	0	POLYGON ((0.21876971658695055 7.660103584772315E-8,0.2343961218973509 7.660103584772315E-8,0.2343961218973509 0.01562562222316262,0.21876971658695055 0.01562562222316262,0.21876971658695055 7.660103584772315E-8))	6111
15	0	POLYGON ((0.2343961218973509 7.660103584772315E-8,0.2500225272077512 7.660103584772315E-8,0.2500225272077512 0.01562562222316262,0.2343961218973509 0.01562562222316262,0.2343961218973509 7.660103584772315E-8))	6155
16	0	POLYGON ((0.2500225272077512 7.660103584772315E-8,0.2656489325181516 7.660103584772315E-8,0.2656489325181516 0.01562562222316262,0.2500225272077512 0.01562562222316262,0.2500225272077512 7.660103584772315E-8))	6180
17	0	POLYGON ((0.2656489325181516 7.660103584772315E-8,0.2812753378285519 7.660103584772315E-8,0.2812753378285519 0.01562562222316262,0.2656489325181516 0.01562562222316262,0.2656489325181516 7.660103584772315E-8))	6079
18	0	POLYGON ((0.2812753378285519 7.660103584772315E-8,0.29690174313895223 7.660103584772315E-8,0.29690174313895223 0.01562562222316262,0.2812753378285519 0.01562562222316262,0.2812753378285519 7.660103584772315E-8))	6127
19	0	POLYGON ((0.29690174313895223 7.660103584772315E-8,0.31252814844935256 7.660103584772315E-8,0.31252814844935256 0.01562562222316262,0.29690174313895223 0.01562562222316262,0.29690174313895223 7.660103584772315E-8))	6063
