Column	Row	Geometry	Frequency
0	0	POLYGON ((1.7885356640157113E-7 4.179720147767796E-8,0.015627206084262366 4.179720147767796E-8,0.015627206084262366 0.0156484725971489,1.7885356640157113E-7 0.0156484725971489,1.7885356640157113E-7 4.179720147767796E-8))	2078
1	0	POLYGON ((0.015627206084262366 4.179720147767796E-8,0.03125423331495833 4.179720147767796E-8,0.03125423331495833 0.0156484725971489,0.015627206084262366 0.0156484725971489,0.015627206084262366 4.179720147767796E-8))	2092
2	0	POLYGON ((0.03125423331495833 4.179720147767796E-8,0.046881260545654294 4.179720147767796E-8,0.046881260545654294 0.0156484725971489,0.03125423331495833 0.0156484725971489,0.03125423331495833 4.179720147767796E-8))	2083
3	0	POLYGON ((0.046881260545654294 4.179720147767796E-8,0.06250828777635026 4.179720147767796E-8,0.06250828777635026 0.0156484725971489,0.046881260545654294 0.0156484725971489,0.046881260545654294 4.179720147767796E-8))	2084
4	0	POLYGON ((0.06250828777635026 4.179720147767796E-8,0.07813531500704622 4.179720147767796E-8,0.07813531500704622 0.0156484725971489,0.06250828777635026 0.0156484725971489,0.06250828777635026 4.179720147767796E-8))	2177
5	0	POLYGON ((0.07813531500704622 4.179720147767796E-8,0.09376234223774219 4.179720147767796E-8,0.09376234223774219 0.0156484725971489,0.07813531500704622 0.0156484725971489,0.07813531500704622 4.179720147767796E-8))	2039
6	0	POLYGON ((0.09376234223774219 4.179720147767796E-8,0.10938936946843815 4.179720147767796E-8,0.10938936946843815 0.0156484725971489,0.09376234223774219 0.0156484725971489,0.09376234223774219 4.179720147767796E-8))	2068
7	0	POLYGON ((0.10938936946843815 4.179720147767796E-8,0.1250163966991341 4.179720147767796E-8,0.1250163966991341 0.0156484725971489,0.10938936946843815 0.0156484725971489,0.10938936946843815 4.179720147767796E-8))	2090
8	0	POLYGON ((0.1250163966991341 4.179720147767796E-8,0.14064342392983006 4.179720147767796E-8,0.14064342392983006 0.0156484725971489,0.1250163966991341 0.0156484725971489,0.1250163966991341 4.179720147767796E-8))	2108
9	0	POLYGON ((0.14064342392983006 4.179720147767796E-8,0.15627045116052604 4.179720147767796E-8,0.15627045116052604 0.0156484725971489,0.14064342392983006 0.0156484725971489,0.14064342392983006 4.179720147767796E-8))	2177
10	0	POLYGON ((0.15627045116052604 4.179720147767796E-8,0.171897478391222 4.179720147767796E-8,0.171897478391222 0.0156484725971489,0.15627045116052604 0.0156484725971489,0.15627045116052604 4.179720147767796E-8))	2023
11	0	POLYGON ((0.171897478391222 4.179720147767796E-8,0.18752450562191797 4.179720147767796E-8,0.18752450562191797 0.0156484725971489,0.171897478391222 0.0156484725971489,0.171897478391222 4.179720147767796E-8))	2057
12	0	POLYGON ((0.18752450562191797 4.179720147767796E-8,0.20315153285261395 4.179720147767796E-8,0.20315153285261395 0.0156484725971489,0.18752450562191797 0.0156484725971489,0.18752450562191797 4.179720147767796E-8))	2025
13	0	POLYGON ((0.20315153285261395 4.179720147767796E-8,0.2187785600833099 4.179720147767796E-8,0.2187785600833099 0.0156484725971489,0.20315153285261395 0.0156484725971489,0.20315153285261395 4.179720147767796E-8))	2099
14	0	POLYGON ((0.2187785600833099 4.179720147767796E-8,0.23440558731400588 4.179720147767796E-8,0.23440558731400588 0.0156484725971489,0.2187785600833099 0.0156484725971489,0.2187785600833099 4.179720147767796E-8))	2072
15	0	POLYGON ((0.23440558731400588 4.179720147767796E-8,0.2500326145447018 4.179720147767796E-8,0.2500326145447018 0.0156484725971489,0.23440558731400588 0.0156484725971489,0.23440558731400588 4.179720147767796E-8))	2095
16	0	POLYGON ((0.2500326145447018 4.179720147767796E-8,0.2656596417753978 4.179720147767796E-8,0.2656596417753978 0.0156484725971489,0.2500326145447018 0.0156484725971489,0.2500326145447018 4.179720147767796E-8))	2075
17	0	POLYGON ((0.2656596417753978 4.179720147767796E-8,0.2812866690060937 4.179720147767796E-8,0.2812866690060937 0.0156484725971489,0.2656596417753978 0.0156484725971489,0.2656596417753978 4.179720147767796E-8))	2060
18	0	POLYGON ((0.2812866690060937 4.179720147767796E-8,0.29691369623678976 4.179720147767796E-8,0.29691369623678976 0.0156484725971489,0.2812866690060937 0.0156484725971489,0.2812866690060937 4.179720147767796E-8))	2132
19	0	POLYGON ((0.29691369623678976 4.179720147767796E-8,0.3125407234674857 4.179720147767796E-8,0.3125407234674857 0.0156484725971489,0.29691369623678976 0.0156484725971489,0.29691369623678976 4.179720147767796E-8))	2044
20	0	POLYGON ((0.3125407234674857 4.179720147767796E-8,0.32816775069818166 4.179720147767796E-8,0.32816775069818166 0.0156484725971489,0.3125407234674857 0.0156484725971489,0.3125407234674857 4.179720147767796E-8))	1939
